Entrez,GeneSymb,coef
1278,COL1A2,-0.131414761983
80763,SPX,0.12619844071
761,CA3,0.0889101404226
219348,PLAC9,-0.0741522186414
25975,EGFL6,-0.0731393348966
2014,EMP3,-0.0701091646244
6696,SPP1,-0.0689511971769
1397,CRIP2,-0.0678840993724
1490,CTGF,-0.0674077004126
22822,PHLDA1,-0.0667297033988
1880,GPR183,-0.0658624287932
171024,SYNPO2,-0.0654660761833
1520,CTSS,-0.0646111966203
80114,BICC1,-0.0638275918265
115207,KCTD12,-0.0622329758157
151887,CCDC80,-0.0598901851086
22918,CD93,-0.0591405328042
389136,VGLL3,-0.0587986354209
8542,APOL1,-0.0581074359275
7045,TGFBI,-0.0569232838669
25878,MXRA5,-0.0558197459582
2982,GUCY1A3,-0.0556201097404
2335,FN1,-0.0555483478119
7076,TIMP1,-0.0553346377613
5396,PRRX1,-0.0548426998898
4069,LYZ,-0.0529075283931
8076,MFAP5,-0.0510319544397
3512,JCHAIN,-0.0485668987225
10402,ST3GAL6,0.046569125037
3429,IFI27,-0.0458104225305
83442,SH3BGRL3,-0.0457081046681
712,C1QA,-0.044201112576
474344,GIMAP6,-0.0441134201725
9457,FHL5,-0.0438488012683
8470,SORBS2,-0.0437461287538
7037,TFRC,-0.0431399832139
1291,COL6A1,-0.0429822586839
57863,CADM3,-0.0428992646135
